LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,0.236,15.39,3.56,0.443,9.392105199999996,0.96435
de-en,0.395,13.47,2.29,0.485,9.230169099999998,0.877514
fi-en,0.334,13.1,2.2,0.621,9.2368783,0.491149
lv-en,0.223,14.28,3.18,0.591,7.258609700000008,0.302958
ru-en,0.342,15.58,2.71,0.491,9.189369099999993,0.264977
tr-en,0.341,14.88,3.26,0.473,9.124071100000009,0.226985
zh-en,0.368,16.0,2.55,0.454,9.207551100000018,0.818394
cs-en,0.036,13.44,3.12,0.409,9.288405400000016,0.781231
de-en,0.114,13.19,2.61,0.392,9.450106500000004,0.710932
fi-en,0.075,11.15,2.09,0.587,9.233474000000001,0.332691
lv-en,-0.058,11.52,2.57,0.544,7.2800752999999645,0.248246
ru-en,-0.000,13.71,2.56,0.447,9.480873900000006,0.264977
tr-en,-0.022,12.32,2.57,0.400,9.346828399999993,0.226985
zh-en,-0.090,13.08,2.38,0.356,9.536645199999953,0.818394
cs-en,0.060,12.24,3.47,0.392,9.566542599999991,0.782194
de-en,0.291,10.87,2.26,0.454,9.938809099999958,0.711127
fi-en,0.132,10.93,2.19,0.586,9.797909300000015,0.33283
lv-en,-0.050,12.41,3.17,0.539,7.589652699999988,0.248337
ru-en,0.208,12.27,2.7,0.443,9.179220900000018,0.265116
tr-en,0.081,11.4,3.26,0.414,9.128713799999957,0.227124
zh-en,0.301,12.64,2.54,0.421,9.138744299999985,0.818589
cs-en,-0.024,8.51,2.02,0.337,9.321695699999964,0.782514
de-en,0.094,9.76,2.15,0.383,9.222613599999931,0.712215
fi-en,-0.036,8.98,1.86,0.553,9.21513189999996,0.33403
lv-en,-0.099,7.03,2.32,0.487,7.154081000000019,0.249641
ru-en,-0.043,28.85,6.67,0.412,9.216399200000069,0.266316
tr-en,-0.063,10.33,2.87,0.325,9.170803999999976,0.22838
zh-en,-0.072,12.32,2.33,0.283,9.365872099999933,0.819845
