LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,0.160,9.193289400000001,2.015694,0.299,9.266677900000001,0.964893
de-en,0.176,10.367416499999997,1.988567,0.309,9.317214,0.877892
fi-en,0.338,10.0479171,1.717698,0.548,9.370781700000009,0.491337
lv-en,0.209,7.665975799999998,2.197926,0.434,7.432939000000005,0.30494
ru-en,0.210,32.322348000000005,6.504238,0.366,9.524602900000005,0.264723
tr-en,0.248,11.531048499999997,2.818415,0.378,9.710680999999994,0.227059
zh-en,0.329,13.861013899999989,2.148102,0.436,10.270019699999978,0.818578
