LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,0.518,13.4124303,3.191529,0.549,9.4744143,0.964335
de-en,0.590,13.1148947,2.639378,0.586,9.2202409,0.877739
fi-en,0.697,11.004121699999999,2.091645,0.716,9.22423169999999,0.491266
lv-en,0.610,11.281559299999998,2.573953,0.688,7.197631800000011,0.303043
ru-en,0.640,13.4585048,2.561002,0.650,9.226392099999984,0.264838
tr-en,0.638,11.92595209999999,2.574385,0.627,9.53694010000001,0.226942
zh-en,0.540,12.979061000000002,2.381238,0.558,9.240135299999992,0.818459
