LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,-0.040,9.028824,2.015635,0.366,9.3935991,0.964901
de-en,-0.012,10.129661200000001,1.988508,0.370,9.171846500000001,0.877702
fi-en,-0.002,9.488908499999994,1.717639,0.583,9.058937400000005,0.491525
lv-en,-0.121,7.230846600000007,2.197867,0.531,7.179970400000002,0.304864
ru-en,0.017,30.211292099999994,6.504179,0.387,9.21559889999999,0.264891
tr-en,-0.072,10.729451400000016,2.818356,0.368,9.277409299999988,0.227059
zh-en,-0.047,12.6215847,2.148043,0.351,9.356259099999988,0.818592
