LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,0.236,15.34,3.56,0.443,9.373620199999998,0.964352
de-en,0.395,13.47,2.29,0.485,9.291602699999999,0.877568
fi-en,0.336,13.24,2.2,0.621,9.247900200000004,0.491391
lv-en,0.223,14.22,3.18,0.591,7.137640400000009,0.303308
ru-en,0.342,15.6,2.7,0.491,9.312451999999979,0.264879
tr-en,0.341,14.89,3.26,0.474,9.181982800000014,0.226925
zh-en,0.370,15.96,2.55,0.455,9.26898109999999,0.818448
cs-en,0.036,13.56,3.12,0.409,9.441316099999995,0.781177
de-en,0.114,13.34,2.61,0.392,9.438701199999997,0.71093
fi-en,0.080,11.3,2.09,0.587,9.242232100000024,0.332877
lv-en,-0.059,11.61,2.57,0.544,7.256573500000002,0.248708
ru-en,0.001,13.6,2.56,0.447,9.320382399999971,0.264935
tr-en,-0.024,12.18,2.57,0.401,9.216962800000033,0.226981
zh-en,-0.088,12.74,2.39,0.356,9.320000599999958,0.818504
cs-en,0.059,11.89,3.47,0.392,9.32983900000005,0.782137
de-en,0.291,10.29,2.26,0.454,9.337535800000012,0.71101
fi-en,0.131,10.32,2.19,0.586,9.343802399999959,0.332957
lv-en,-0.051,11.64,3.17,0.539,7.282498299999986,0.248788
ru-en,0.208,12.29,2.7,0.443,9.303829600000029,0.265015
tr-en,0.083,11.43,3.26,0.416,9.238294999999994,0.227061
zh-en,0.307,12.66,2.54,0.423,9.246068999999977,0.818584
cs-en,-0.022,8.7,2.02,0.337,9.447459200000026,0.782513
de-en,0.094,10.02,2.15,0.383,9.447561000000064,0.71221
fi-en,-0.039,9.2,1.86,0.552,9.758246699999972,0.334157
lv-en,-0.099,7.13,2.32,0.488,7.245899399999985,0.249988
ru-en,-0.042,28.95,6.67,0.412,9.241075200000068,0.266271
tr-en,-0.063,10.26,2.87,0.326,9.280883700000004,0.228205
zh-en,-0.072,12.51,2.33,0.282,9.646094400000038,0.819784
