LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,0.517,13.406600999999995,3.200427,0.561,9.108481900000015,0.970909
de-en,0.525,12.932992899999988,2.638227,0.563,9.091766099999973,0.880352
fi-en,0.683,10.930785199999946,2.090494,0.729,9.010088999999994,0.49261
lv-en,0.617,11.11145330000005,2.571766,0.698,7.095781299999999,0.305893
ru-en,0.631,13.4749774,2.559851,0.647,9.336394999999982,0.266408
tr-en,0.607,13.166040599999974,2.573106,0.616,9.620438899999954,0.228368
zh-en,0.532,12.820500999999979,2.380115,0.545,9.527531900000042,0.819945
