LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,-0.020,9.846183100000019,2.093619,0.338,9.847992599999998,0.97141
de-en,0.094,10.438082400000042,2.169897,0.383,9.685679299999947,0.880298
fi-en,-0.038,9.658816899999977,1.872967,0.553,9.277042300000005,0.492748
lv-en,-0.099,7.282231400000001,2.323287,0.487,7.254232999999999,0.304297
ru-en,-0.042,30.821091200000012,6.680305,0.412,9.530856500000027,0.26638
tr-en,-0.063,10.751962699999979,2.868719,0.327,9.4705333,0.228484
zh-en,-0.069,13.372500099999968,2.332919,0.284,9.705743200000029,0.819953
