LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,-0.094,8.801327700000002,2.015694,0.329,9.1632374,0.964849
de-en,-0.040,9.868628899999997,1.988567,0.345,9.102552500000002,0.877646
fi-en,-0.181,9.228515000000009,1.717698,0.555,9.1000595,0.491233
lv-en,-0.225,7.1376161000000025,2.19803,0.470,6.955826500000001,0.30469
ru-en,-0.143,29.05051209999999,6.504238,0.400,9.14804980000001,0.264957
tr-en,-0.105,10.666013599999985,2.818415,0.325,9.109211799999997,0.227115
zh-en,-0.069,12.353842900000018,2.148102,0.342,9.190873699999997,0.818752
